iter	RMSE
0	614840.6367
1	586141.2627
2	563030.2184
3	542290.6819
4	524630.3204
5	509302.3739
6	495868.133
7	484507.1994
8	474288.2941
9	465716.3693
10	458648.5535
11	451124.0759
12	445318.8503
13	439968.2749
14	435096.0435
15	430401.647
16	426300.657
17	422184.4858
18	418783.1464
19	415273.5685
20	412049.6534
21	408696.6515
22	406015.6909
23	403161.031
24	400648.5676
25	398821.5239
26	396925.3631
27	395032.4486
28	393194.8457
29	391511.9681
30	389139.5741
31	387705.1007
32	385961.3143
33	384755.3187
34	383341.2566
35	382057.126
36	381060.3184
37	379803.6848
38	378344.441
39	376722.5765
40	375656.0712
41	374650.4578
42	373906.0742
43	373273.1303
44	372141.2072
45	371232.1851
46	370525.1702
47	370020.8234
48	369242.6509
49	368840.2659
50	368272.3841
51	367472.0078
52	366725.4803
53	366326.3484
54	365373.314
55	365201.8734
56	364375.9286
57	363917.7007
58	363332.9996
59	362874.7371
60	361948.1565
61	361304.2518
62	359840.1528
63	359704.1308
64	359552.4835
65	359065.1815
66	358696.8616
67	358013.6631
68	357681.2809
69	357356.4277
70	356938.3868
71	356174.76
72	356004.8292
73	355823.5949
74	355315.7843
75	355077.2551
76	354365.272
77	354274.0682
78	353574.6184
79	353292.448
80	353273.4161
81	352918.2014
82	352576.2868
83	352141.5688
84	351651.4474
85	351519.2126
86	351229.8188
87	350892.1797
88	350679.012
89	350159.4388
90	349950.7666
91	349647.0881
92	349300.6545
93	349280.2741
94	348628.4852
95	348330.3752
96	347826.1697
97	347546.1608
98	347155.6214
99	346865.6611
