iter	Passed	Remaining
0	11	1154
1	20	990
2	25	832
3	30	741
4	38	722
5	44	690
6	50	665
7	55	643
8	61	618
9	67	609
10	71	580
11	78	578
12	84	565
13	91	564
14	97	553
15	103	544
16	110	538
17	115	527
18	120	515
19	127	510
20	133	500
21	139	493
22	146	491
23	153	486
24	159	477
25	165	470
26	184	498
27	189	486
28	194	476
29	199	464
30	203	453
31	208	443
32	214	436
33	220	427
34	224	417
35	231	412
36	236	403
37	242	394
38	245	383
39	249	374
40	253	364
41	257	355
42	263	348
43	268	341
44	278	340
45	284	333
46	289	326
47	293	317
48	297	309
49	301	301
50	305	293
51	308	284
52	312	277
53	317	270
54	320	261
55	324	255
56	328	248
57	332	240
58	337	234
59	341	227
60	346	221
61	350	215
62	354	208
63	357	201
64	360	194
65	365	188
66	370	182
67	373	175
68	378	170
69	382	163
70	385	157
71	389	151
72	392	145
73	395	139
74	399	133
75	402	127
76	405	121
77	409	115
78	412	109
79	415	103
80	418	98
81	423	92
82	426	87
83	429	81
84	433	76
85	435	70
86	439	65
87	442	60
88	445	55
89	448	49
90	452	44
91	455	39
92	458	34
93	460	29
94	463	24
95	467	19
96	470	14
97	473	9
98	476	4
99	479	0
